sentence_id,target,target_prob_raw,target_prob_smooth,target_surprisal_raw,target_surprisal_smooth,entropy_raw,entropy_smooth,top1,top2,competition
1,helm,0.07692307692307693,0.1,2.5649493574615367,2.3025850929940455,1.7782333057997075,1.874063207697293,0.25,0.2,0.04999999999999999
8,curtains,0.3076923076923077,0.29411764705882354,1.1786549963416462,1.2237754316221157,1.204793309694784,1.2831726480161034,0.4117647058823529,0.29411764705882354,0.11764705882352938
9,mittens,0.38461538461538464,0.35294117647058826,0.9555114450274363,1.041453874828161,1.1189688668816267,1.236477074585904,0.4117647058823529,0.35294117647058826,0.05882352941176466
12,ale,0.07692307692307693,0.09523809523809523,2.5649493574615367,2.3513752571634776,1.9512595041439562,2.0293956015061414,0.19047619047619047,0.19047619047619047,0
13,kittens,0.6923076923076923,0.5555555555555556,0.3677247801253174,0.587786664902119,1.0437938808441543,1.3030924037617193,0.5555555555555556,0.1111111111111111,0.4444444444444445
13,kittens,0.6923076923076923,0.5555555555555556,2.5649493574615367,2.1972245773362196,1.0437938808441543,1.3030924037617193,0.5555555555555556,0.1111111111111111,0.4444444444444445
13,kittens,0.07692307692307693,0.1111111111111111,0.3677247801253174,0.587786664902119,1.0437938808441543,1.3030924037617193,0.5555555555555556,0.1111111111111111,0.4444444444444445
13,kittens,0.07692307692307693,0.1111111111111111,2.5649493574615367,2.1972245773362196,1.0437938808441543,1.3030924037617193,0.5555555555555556,0.1111111111111111,0.4444444444444445
18,rail,0.3076923076923077,0.2631578947368421,1.1786549963416462,1.3350010667323402,1.6313454208085967,1.7183112141933194,0.2631578947368421,0.21052631578947367,0.05263157894736842
18,rail,0.3076923076923077,0.2631578947368421,2.5649493574615367,2.2512917986064953,1.6313454208085967,1.7183112141933194,0.2631578947368421,0.21052631578947367,0.05263157894736842
18,rail,0.07692307692307693,0.10526315789473684,1.1786549963416462,1.3350010667323402,1.6313454208085967,1.7183112141933194,0.2631578947368421,0.21052631578947367,0.05263157894736842
18,rail,0.07692307692307693,0.10526315789473684,2.5649493574615367,2.2512917986064953,1.6313454208085967,1.7183112141933194,0.2631578947368421,0.21052631578947367,0.05263157894736842
21,shell,0.6153846153846154,0.5,0.48550781578170077,0.6931471805599453,1.1786549963416462,1.3776083609300551,0.5,0.16666666666666666,0.33333333333333337
24,snails,0.23076923076923078,0.17391304347826086,1.466337068793427,1.749199854809259,2.20478541691352,2.268912946388149,0.17391304347826086,0.13043478260869565,0.043478260869565216
25,carton,0.5384615384615384,0.4444444444444444,0.6190392084062235,0.8109302162163288,1.2636256721237273,1.4270610433807247,0.4444444444444444,0.2222222222222222,0.2222222222222222
27,sale,0.15384615384615385,0.125,1.8718021769015913,2.0794415416798357,2.351673301904631,2.3835403727609594,0.125,0.125,0
31,elf,0.05,0.05714285714285714,2.995732273553991,2.8622008809294686,2.524058077389471,2.6391131936056635,0.17142857142857143,0.08571428571428572,0.08571428571428572
31,elf,0.05,0.05714285714285714,2.995732273553991,2.8622008809294686,2.524058077389471,2.6391131936056635,0.17142857142857143,0.08571428571428572,0.08571428571428572
31,elf,0.05,0.05714285714285714,2.995732273553991,2.8622008809294686,2.524058077389471,2.6391131936056635,0.17142857142857143,0.08571428571428572,0.08571428571428572
31,elf,0.05,0.05714285714285714,2.995732273553991,2.8622008809294686,2.524058077389471,2.6391131936056635,0.17142857142857143,0.08571428571428572,0.08571428571428572
33,ale,0.1,0.10344827586206896,2.3025850929940455,2.268683541318364,1.6075751554588924,1.8907862716657995,0.41379310344827586,0.10344827586206896,0.3103448275862069
